Ýrsaliye Tarihi,Ýrsaliye No,Resmi Belge No,Satýþ Tipi,Müþteri Ünvaný,Nakliyeci Ünvan,Plaka,Miktar, Nakliye Yerel Tutar , Nakliye Yerel Tutar Toplam , Nakliye Firma Tutar , Nakliye Firma Tutar Toplam ,Þehir
11/02/2023,"2,004",12381,Yurt Dýþý,SS ALGA  (MONTENEGRO),SS ALGA  (MONTENEGRO),NK DD 922,"24,840", -   , -   , -   , -   ,PODGORICE
11/02/2023,"2,005",12382,Yurt Dýþý,BRODOMETALURGIJA DOO,BRODOMETALURGIJA DOO,DG AN 559,"24,820", -   , -   , -   , -   ,SPLIT
11/02/2023,"2,006",12383,Yurt Dýþý,UNITRADE SHPK (KOSOVA),UNITRADE SHPK (KOSOVA),06 245 EO,"24,900", -   , -   , -   , -   ,VITI
11/02/2023,"2,007",12384,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,SK 7714 AM,"23,780", -   , -   , -   , -   ,SHKUP
11/02/2023,"2,008",12385,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 035 GB,"33,060", -   , -   , -   , -   ,ELBASAN
11/02/2023,"2,009",12386,Yurt Dýþý,METAL KOMERC LTD DOO (SIRBISTAN),METAL KOMERC LTD DOO (SIRBISTAN),NP 134 IN,"25,080", -   , -   , -   , -   ,NOVI SAD
11/02/2023,"2,010",12387,Yurt Dýþý,METAL MIX SHPK ,METAL MIX SHPK ,06 275 DN,"23,980", -   , -   , -   , -   ,LIPJAN
11/02/2023,"2,011",12388,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AA 401 DL,"33,540", -   , -   , -   , -   ,ELBASAN
11/02/2023,"2,012",12389,Yurt Dýþý,CONDOR SHPK (KOSOVE),CONDOR SHPK (KOSOVE),04869II,"27,640", -   , -   , -   , -   ,RAHOVEC
11/02/2023,"2,013",12390,Yurt Dýþý,EURO ABI (KOSOVA),EURO ABI (KOSOVA),06231DS,"22,780", -   , -   , -   , -   ,VITI
11/02/2023,"2,014",12391,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,SU8129AC,"25,440", -   , -   , -   , -   ,TETOVE
11/02/2023,"2,015",12392,Yurt Ýçi,FUSHA SHPK,AIVI 2020 (KLEVIS DAKA),AA217AE,"35,380", 990.00 ," 35,026.20 ", 8.53 , 301.95 ,VORE
11/02/2023,"2,016",12393,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,SU2637AC,"25,980", -   , -   , -   , -   ,TETOVE
11/02/2023,"2,017",12394,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,SU2636AC,"25,080", -   , -   , -   , -   ,TETOVE
11/02/2023,"2,018",12395,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,SU8128AC,"25,680", -   , -   , -   , -   ,TETOVE
11/02/2023,"2,019",12397,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,SU8126AC,"24,980", -   , -   , -   , -   ,TETOVE
11/02/2023,"2,020",12398,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,SU8127AC,"25,780", -   , -   , -   , -   ,TETOVE
11/02/2023,"2,021",12400,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 051 MD,"26,680", -   , -   , -   , -   ,TETOVE
11/02/2023,"2,022",12402,Yurt Ýçi,KONTAKT SHPK,KONTAKT SHPK,AB 524 HJ,"20,400", -   , -   , -   , -   ,TIRANE
11/02/2023,"2,023",12403,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 999 UU,"31,680", -   , -   , -   , -   ,FUSHE KRUJE
11/02/2023,"2,024",12404,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,SU 2635 AC,"25,840", -   , -   , -   , -   ,TETOVE
11/02/2023,"2,025",12405,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AA 497  FX,"32,460", -   , -   , -   , -   ,ELBASAN
11/02/2023,"2,026",12406,Yurt Ýçi,RAFAELO SHPK   (MG),RAFAELO SHPK   (MG),AB 889 CF,"32,060", -   , -   , -   , -   ,TIRANE
11/02/2023,"2,027",12407,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 024 HE,"32,660", -   , -   , -   , -   ,ELBASAN
11/02/2023,"2,028",12408,Yurt Ýçi,RAFAELO SHPK   (MG),RAFAELO SHPK   (MG),TR 8375 M,"33,860", -   , -   , -   , -   ,TIRANE
11/02/2023,"2,029",12409,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AB 093 GE,"24,200", -   , -   , -   , -   ,TETOVE
11/02/2023,"2,030",12410,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 724 NK,"27,360", -   , -   , -   , -   ,TETOVE
11/02/2023,"2,031",12411,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,AA 283 DL,"24,860", -   , -   , -   , -   ,SHKUP
11/02/2023,"2,032",12412,Yurt Dýþý,PROMET STEEL HOLDING DOOEL (Makedonya),PROMET STEEL HOLDING DOOEL (Makedonya),AB 035 FF,"25,800", -   , -   , -   , -   ,SHKUP
11/02/2023,"2,033",12413,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,AA416 XZ,"21,800", -   , -   , -   , -   ,SHKUP
11/02/2023,"2,034",12415,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AA 611 BA,"26,820", -   , -   , -   , -   ,TETOVE
13/02/2023,"2,035",12416,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AB 024 HE,"31,000", -   , -   , -   , -   ,ELBASAN
13/02/2023,"2,036",12417,Yurt Ýçi,LARTI SHPK (A.ISAI),LARTI SHPK (A.ISAI),AA 401 DL,"30,200", -   , -   , -   , -   ,ELBASAN
13/02/2023,"2,037",12418,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AB 997 EE,"24,680", -   , -   , -   , -   ,TETOVE
13/02/2023,"2,038",12419,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 999 UU,"31,000", -   , -   , -   , -   ,FUSHE KRUJE
13/02/2023,"2,039",12420,Yurt Dýþý,STIL ZELEZO DOOEL ,STIL ZELEZO DOOEL ,AB 082 HS,"24,780", -   , -   , -   , -   ,TETOVE
13/02/2023,"2,040",12421,Yurt Ýçi,SHIJAKU SHPK (SHSH),SHIJAKU SHPK (SHSH),AB 107 DV,"39,180", -   , -   , -   , -   ,FUSHE KRUJE
13/02/2023,"2,041",12423,Yurt Dýþý,FOKUS TRADE BALKAN DOOEL,FOKUS TRADE BALKAN DOOEL,SK 0731 BC,"21,780", -   , -   , -   , -   ,SHKUP
