Ýrsaliye No,Resmi Belge No,Plaka No,Stok Kodu,Stok Adý,Miktar,Birim,Müþteri Ünvaný,Ýrsaliye Tarihi
"6,144",13870,                                                            ,DM.00.020,10 Hekur Periodik,"2,000",KG,LARTI SHPK (A.ISAI),27/04/2023
"6,144",13870,                                                            ,EM.00.025,12 Hekur Periodik,"5,200",KG,LARTI SHPK (A.ISAI),27/04/2023
"6,144",13870,                                                            ,EM.00.030,14 Hekur Periodik,"12,720",KG,LARTI SHPK (A.ISAI),27/04/2023
"6,144",13870,                                                            ,EM.00.045,20 Hekur Periodik,"5,200",KG,LARTI SHPK (A.ISAI),27/04/2023
"6,145",13871,                                                            ,EM.02.100," 5,5 Hekur Katanke ","25,380",KG,CWI-ALBANIA SHA_HEKUR,27/04/2023
"6,146",13872,                                                            ,EM.02.100," 5,5 Hekur Katanke ","25,380",KG,CWI-ALBANIA SHA_HEKUR,27/04/2023
"6,147",13873,                                                            ,DM.00.020,10 Hekur Periodik,"24,860",KG,DI GIPS  BULGARIA LTD,27/04/2023
"6,148",13874,                                                            ,DM.00.020,10 Hekur Periodik,"24,560",KG,METAL MIX SHPK ,27/04/2023
"6,151",13875,                                                            ,DM.00.020,10 Hekur Periodik,"21,040",KG,METAL MIX SHPK ,27/04/2023
"6,152",13877,                                                            ,EM.02.100," 5,5 Hekur Katanke ","25,320",KG,CWI-ALBANIA SHA_HEKUR,27/04/2023
"6,153",13878,                                                            ,DM.00.015,9 Hekur Periodik,"6,320",KG,EURO ABI (KOSOVA),27/04/2023
"6,153",13878,                                                            ,DM.00.020,10 Hekur Periodik,"14,440",KG,EURO ABI (KOSOVA),27/04/2023
"6,153",13878,                                                            ,DM.00.030,14 Hekur Periodik,"2,160",KG,EURO ABI (KOSOVA),27/04/2023
"6,154",13879,                                                            ,DM.00.015,9 Hekur Periodik,"34,760",KG,LARTI SHPK (A.ISAI),27/04/2023
"6,156",13880,                                                            ,EM.02.110," 6,5 Hekur Katanke ","31,360",KG,ERMIR SHPK (H.DEDA),27/04/2023
"6,158",13881,                                                            ,EM.02.110," 6,5 Hekur Katanke ","25,540",KG,CWI-ALBANIA SHA_HEKUR,27/04/2023
"6,159",13882,                                                            ,DM.00.020,10 Hekur Periodik,"9,220",KG,FOKUS TRADE BALKAN DOOEL,27/04/2023
"6,159",13882,                                                            ,EM.00.025,12 Hekur Periodik,"7,800",KG,FOKUS TRADE BALKAN DOOEL,27/04/2023
"6,159",13882,                                                            ,EM.00.030,14 Hekur Periodik,"7,800",KG,FOKUS TRADE BALKAN DOOEL,27/04/2023
"6,160",13884,                                                            ,EM.00.025,12 Hekur Periodik,"23,620",KG,FOKUS TRADE BALKAN DOOEL,27/04/2023
"6,161",13886,                                                            ,EM.02.110," 6,5 Hekur Katanke ","25,400",KG,CWI-ALBANIA SHA_HEKUR,27/04/2023
"6,162",13887,                                                            ,EM.00.025,12 Hekur Periodik,"22,100",KG,ANCHOR INVESTMENT SHPK,27/04/2023
"6,162",13887,                                                            ,EM.00.030,14 Hekur Periodik,"2,600",KG,ANCHOR INVESTMENT SHPK,27/04/2023
"6,162",13887,                                                            ,EM.00.035,16 Hekur Periodik,"5,300",KG,ANCHOR INVESTMENT SHPK,27/04/2023
"6,163",13888,                                                            ,DM.00.010,8 Hekur Periodik,"15,080",KG,KONTAKT SHPK,27/04/2023
"6,163",13888,                                                            ,DM.00.020,10 Hekur Periodik,"6,100",KG,KONTAKT SHPK,27/04/2023
"6,163",13888,                                                            ,EM.00.035,16 Hekur Periodik,"2,600",KG,KONTAKT SHPK,27/04/2023
"6,163",13888,                                                            ,EM.00.040,18 Hekur Periodik,"8,000",KG,KONTAKT SHPK,27/04/2023
"6,163",13888,                                                            ,EM.00.045,20 Hekur Periodik,"2,500",KG,KONTAKT SHPK,27/04/2023
"6,164",13889,                                                            ,EM.02.110," 6,5 Hekur Katanke ","25,460",KG,CWI-ALBANIA SHA_HEKUR,27/04/2023
"6,165",13890,                                                            ,DM.00.010,8 Hekur Periodik,"4,000",KG,BIFFER & CO,27/04/2023
"6,165",13890,                                                            ,DM.00.020,10 Hekur Periodik,"2,000",KG,BIFFER & CO,27/04/2023
"6,165",13890,                                                            ,EM.00.035,16 Hekur Periodik,"28,400",KG,BIFFER & CO,27/04/2023
"5,413",13891,                                                            ,DM.00.010,8 Hekur Periodik,"25,760",KG,SHPK NDERIMI(KOSOVA),11/04/2023
"6,166",13892,                                                            ,EM.02.110," 6,5 Hekur Katanke ","25,440",KG,CWI-ALBANIA SHA_HEKUR,27/04/2023
"6,169",13893,                                                            ,DM.00.015,9 Hekur Periodik,"10,100",KG,RAFAELO SHPK   (MG),27/04/2023
"6,169",13893,                                                            ,DM.00.030,14 Hekur Periodik,"11,860",KG,RAFAELO SHPK   (MG),27/04/2023
"6,169",13893,                                                            ,EM.00.035,16 Hekur Periodik,"16,200",KG,RAFAELO SHPK   (MG),27/04/2023
"6,170",13894,                                                            ,EM.02.110," 6,5 Hekur Katanke ","25,380",KG,CWI-ALBANIA SHA_HEKUR,27/04/2023
"6,171",13895,                                                            ,DM.00.010,8 Hekur Periodik,"4,100",KG,ENGINEERING GLOBAL SOLUTION (EGS),27/04/2023
"6,171",13895,                                                            ,EM.00.025,12 Hekur Periodik,"13,260",KG,ENGINEERING GLOBAL SOLUTION (EGS),27/04/2023
"6,171",13895,                                                            ,EM.00.030,14 Hekur Periodik,"2,880",KG,ENGINEERING GLOBAL SOLUTION (EGS),27/04/2023
"6,171",13895,                                                            ,EM.00.040,18 Hekur Periodik,"5,500",KG,ENGINEERING GLOBAL SOLUTION (EGS),27/04/2023
"6,171",13895,                                                            ,EM.00.045,20 Hekur Periodik,"2,900",KG,ENGINEERING GLOBAL SOLUTION (EGS),27/04/2023
"6,171",13895,                                                            ,EM.00.050,22 Hekur Periodik,"8,000",KG,ENGINEERING GLOBAL SOLUTION (EGS),27/04/2023
"6,172",13896,                                                            ,DM.00.010,8 Hekur Periodik,"6,100",KG,SS ALGA  (MONTENEGRO),27/04/2023
"6,172",13896,                                                            ,DM.00.015,9 Hekur Periodik,"10,100",KG,SS ALGA  (MONTENEGRO),27/04/2023
"6,172",13896,                                                            ,DM.00.025,12 Hekur Periodik,"4,600",KG,SS ALGA  (MONTENEGRO),27/04/2023
"6,172",13896,                                                            ,EM.00.045,20 Hekur Periodik,"5,800",KG,SS ALGA  (MONTENEGRO),27/04/2023
"6,173",13897,                                                            ,DM.00.010,8 Hekur Periodik,"22,460",KG,LARTI SHPK (A.ISAI),27/04/2023
